molecule,voltage_vacuum_v,voltage_li_v,fraction_reduced,mean_charge_e
EC,-1.6,-0.20000000000000018,0.9999999999944473,-0.9999999999944473
EC,-1.59,-0.19000000000000017,0.999999999991825,-0.999999999991825
EC,-1.58,-0.18000000000000016,0.9999999999879641,-0.9999999999879641
EC,-1.57,-0.17000000000000015,0.9999999999822797,-0.9999999999822797
EC,-1.56,-0.16000000000000014,0.9999999999739106,-0.9999999999739106
EC,-1.55,-0.15000000000000013,0.9999999999615887,-0.9999999999615887
EC,-1.54,-0.14000000000000012,0.9999999999434477,-0.9999999999434477
EC,-1.53,-0.13000000000000012,0.9999999999167388,-0.9999999999167388
EC,-1.52,-0.1200000000000001,0.9999999998774156,-0.9999999998774156
EC,-1.51,-0.1100000000000001,0.9999999998195204,-0.9999999998195204
EC,-1.5,-0.10000000000000009,0.9999999997342823,-0.9999999997342823
EC,-1.49,-0.09000000000000008,0.9999999996087872,-0.9999999996087872
EC,-1.48,-0.08000000000000007,0.9999999994240221,-0.9999999994240221
EC,-1.47,-0.07000000000000006,0.999999999151995,-0.999999999151995
EC,-1.46,-0.06000000000000005,0.9999999987514927,-0.9999999987514927
EC,-1.45,-0.050000000000000044,0.9999999981618384,-0.9999999981618384
EC,-1.44,-0.040000000000000036,0.9999999972936977,-0.9999999972936977
EC,-1.43,-0.030000000000000027,0.999999996015545,-0.999999996015545
EC,-1.42,-0.020000000000000018,0.999999994133737,-0.999999994133737
EC,-1.41,-0.010000000000000009,0.9999999913631744,-0.9999999913631744
EC,-1.4,0.0,0.9999999872841098,-0.9999999872841098
EC,-1.39,0.010000000000000009,0.9999999812785544,-0.9999999812785544
EC,-1.38,0.020000000000000018,0.9999999724366503,-0.9999999724366503
EC,-1.3699999999999999,0.030000000000000027,0.9999999594188259,-0.9999999594188259
EC,-1.3599999999999999,0.040000000000000036,0.9999999402528466,-0.9999999402528466
EC,-1.3499999999999999,0.050000000000000044,0.9999999120350165,-0.9999999120350165
EC,-1.3399999999999999,0.06000000000000005,0.9999998704902616,-0.9999998704902616
EC,-1.3299999999999998,0.07000000000000006,0.9999998093244454,-0.9999998093244454
EC,-1.3199999999999998,0.08000000000000007,0.9999997192707937,-0.9999997192707937
EC,-1.3099999999999998,0.09000000000000008,0.9999995866859593,-0.9999995866859593
EC,-1.2999999999999998,0.10000000000000009,0.999999391483032,-0.999999391483032
EC,-1.2899999999999998,0.1100000000000001,0.9999991040883447,-0.9999991040883447
EC,-1.2799999999999998,0.1200000000000001,0.9999986809610456,-0.9999986809610456
EC,-1.2699999999999998,0.13000000000000012,0.999998057996673,-0.999998057996673
EC,-1.2599999999999998,0.14000000000000012,0.9999971408154397,-0.9999971408154397
EC,-1.2499999999999998,0.15000000000000013,0.9999957904640562,-0.9999957904640562
